HOUR of YEAR,HOUR-MST,Avg Global Horizontal [W/m^2],Avg Avg Wind Speed @ 50m [m/s]
2124,12,839.1063,4.5473
2125,13,854.2267,3.5237
2126,14,869.8533,7.7641
2127,15,748.6937,7.2653
2128,16,428.8977,6.1333
2129,17,333.0293,7.998
2130,18,67.1386,6.392
2131,19,-9.9709,4.2281
2132,20,-8.1883,5.524
2133,21,-5.3704,5.8672
2134,22,-4.4376,5.4858
2135,23,-3.3263,5.9612
2136,0,-3.9012,5.0035
2137,1,-2.1449,4.6099
2138,2,-3.2705,4.7445
2139,3,-2.7583,5.5614
2140,4,-2.2958,6.4981
2141,5,-5.2262,2.483
2142,6,2.3462,0.5393
2143,7,50.0989,1.3137
2144,8,262.0504,0.7973
2145,9,495.9262,1.9834
2146,10,693.472,3.4008
2147,11,775.9858,4.9404
2148,12,666.3878,5.8991
2149,13,842.1115,8.6046
2150,14,883.4638,8.2573
2151,15,607.8768,6.4116
2152,16,551.9948,4.0526
2153,17,405.2033,4.1306
2154,18,81.555,4.5482
2155,19,-12.2191,2.1982
2156,20,-11.1621,2.7048
2157,21,-3.5488,2.9464
2158,22,-3.711,3.9055
2159,23,-1.9492,6.3155
2160,0,-2.602,7.6182
2161,1,-5.3124,6.6749
2162,2,-4.0275,5.2515
2163,3,-2.5278,4.629
2164,4,0.0691,3.4044
2165,5,-0.6739,2.6463
2166,6,0.4241,3.3697
2167,7,44.6313,3.9592
2168,8,216.3575,4.4166
2169,9,463.209,8.1762
2170,10,448.7508,6.9939
2171,11,255.6365,4.8376
2172,12,198.7988,6.2056
2173,13,366.1717,6.4396
2174,14,445.3826,6.3849
2175,15,467.34,8.0309
2176,16,293.144,17.699
2177,17,118.8152,12.3957
2178,18,109.4445,6.0532
2179,19,3.7737,4.9831
2180,20,-4.8032,6.454
2181,21,-4.3977,5.6775
2182,22,-4.7383,3.5685
2183,23,-5.0693,3.996
2184,0,-2.0265,4.5963
2185,1,-2.9024,5.2589
2186,2,-1.7887,3.488
2187,3,-1.0655,2.2141
2188,4,-0.9421,1.1826
2189,5,-0.0487,2.3154
2190,6,0.1499,2.2794
2191,7,11.031,2.0317
2192,8,33.7416,2.6474
2193,9,54.9121,2.5596
2194,10,188.1304,2.4966
2195,11,73.5598,4.0709
2196,12,120.4004,5.9691
2197,13,73.3354,6.8716
2198,14,48.4731,6.6304
2199,15,63.1867,6.9961
2200,16,55.5008,7.0482
2201,17,40.121,7.1568
2202,18,28.4973,7.595
2203,19,0.764,6.3907
2204,20,-0.8694,3.8037
2205,21,-0.6669,5.9656
2206,22,-0.7576,6.3797
2207,23,-1.077,3.7588
2208,0,-0.4639,2.4161
2209,1,-0.0955,3.4612
2210,2,0.0423,2.3721
2211,3,-0.2988,1.7448
2212,4,-0.836,1.2973
2213,5,-0.2914,2.0292
2214,6,-0.0989,1.5733
2215,7,35.9332,0.8895
2216,8,193.8951,1.8821
2217,9,521.072,1.7223
2218,10,612.3448,2.2791
2219,11,826.946,1.34
2220,12,912.8953,1.6177
2221,13,858.626,1.8588
2222,14,825.9345,2.0918
2223,15,727.9258,2.0314
2224,16,532.761,2.3244
2225,17,312.2837,2.2664
2226,18,78.5353,2.3535
2227,19,-10.5476,2.0092
2228,20,-8.5511,2.9141
2229,21,-3.7929,3.084
2230,22,-3.2747,3.5022
2231,23,-2.5478,3.8496
2232,0,-2.8827,2.225
2233,1,-3.1649,2.5152
2234,2,-2.9028,2.2291
2235,3,-2.0346,1.2537
2236,4,-1.6761,1.4841
2237,5,-2.4448,2.4471
2238,6,2.3415,1.1218
2239,7,57.037,1.5227
2240,8,130.7784,1.3755
2241,9,435.2222,0.9585
2242,10,735.0953,2.5165
2243,11,847.7857,3.9827
2244,12,900.5535,4.0004
2245,13,895.885,3.0638
2246,14,866.5993,2.8654
2247,15,758.5393,2.4636
2248,16,451.7235,3.164
2249,17,249.9657,2.415
2250,18,45.2602,2.6738
2251,19,-6.8199,0.8306
2252,20,-8.6432,1.2923
2253,21,-4.8727,1.7917
2254,22,-3.711,2.0125
2255,23,-2.5766,1.7489
2256,0,-1.8129,1.8173
2257,1,-1.8241,0.6509
2258,2,-2.2312,1.0597
2259,3,-1.8058,3.8602
2260,4,-3.6249,4.1984
2261,5,-4.0149,4.3187
2262,6,5.9343,1.74
2263,7,57.8353,2.2037
2264,8,122.5595,2.234
2265,9,406.706,2.6754
2266,10,729.2648,2.5079
2267,11,842.7052,4.6945
2268,12,854.4348,3.7511
2269,13,895.7572,3.4246
2270,14,826.7842,3.1512
2271,15,781.0402,3.895
2272,16,577.1489,2.6636
2273,17,329.9677,3.4796
2274,18,80.4299,2.2746
2275,19,-13.7149,1.909
2276,20,-4.1591,7.9995
2277,21,-5.8742,7.2649
2278,22,-3.1253,8.006
2279,23,-6.385,5.6205
2280,0,-7.0761,3.5807
2281,1,-3.0286,3.4523
2282,2,-5.5881,6.007
2283,3,-5.2572,6.616
2284,4,-2.9077,5.6436
2285,5,-3.2621,4.9794
2286,6,3.1153,5.3163
2287,7,54.64,3.4876
2288,8,121.5622,2.9931
2289,9,394.0618,2.7299
2290,10,735.4858,5.2966
2291,11,846.1965,4.3143
2292,12,853.7677,2.8705
2293,13,952.3805,4.1114
2294,14,642.4375,4.877
2295,15,412.4605,3.7796
2296,16,498.1672,4.5266
2297,17,442.8725,5.325
2298,18,118.0184,4.6822
2299,19,-10.7299,3.1014
2300,20,-10.0389,3.3398
2301,21,-5.4222,3.8766
2302,22,-4.5945,5.129
2303,23,-4.8388,4.6721
2304,0,-4.3221,2.8255
2305,1,-3.5855,4.0156
2306,2,-4.9267,4.8069
2307,3,-3.2027,4.5242
2308,4,0.8626,3.356
2309,5,-0.0702,2.937
2310,6,2.1356,1.2122
2311,7,39.7549,1.4754
2312,8,101.323,1.8549
2313,9,211.8493,2.0164
2314,10,540.1552,3.265
2315,11,567.2995,2.5444
2316,12,620.2513,2.3107
2317,13,915.895,2.8494
2318,14,823.0878,3.1867
2319,15,683.192,2.9188
2320,16,493.4202,2.6343
2321,17,200.138,2.773
2322,18,91.3721,4.0005
2323,19,-0.0979,4.5229
2324,20,-6.4909,4.7054
2325,21,-5.132,4.0534
2326,22,-2.7812,4.5043
2327,23,-1.1386,4.3768
2328,0,-1.1108,4.5539
2329,1,-0.9978,3.8508
2330,2,-0.7935,2.3601
2331,3,-0.6307,1.9194
2332,4,-0.431,0.7954
2333,5,-1.0818,1.0081
2334,6,2.4146,1.3164
2335,7,58.986,2.3443
2336,8,165.121,2.1165
2337,9,273.9123,1.8049
2338,10,598.3812,2.6608
2339,11,705.9437,2.7499
2340,12,586.202,3.0439
2341,13,502.9817,5.8424
2342,14,361.6222,7.0314
2343,15,184.0612,6.6466
2344,16,89.8699,5.7255
2345,17,49.5668,4.7555
2346,18,17.5515,3.7004
2347,19,-4.9136,5.8803
2348,20,-0.5081,7.1897
2349,21,0.8303,12.6389
2350,22,-0.6685,9.6498
2351,23,-2.4444,7.8595
2352,0,-2.3404,9.1108
2353,1,-4.2953,5.8118
2354,2,-4.0318,1.808
2355,3,0.3886,6.3909
2356,4,-1.5414,5.054
2357,5,-4.112,2.9304
2358,6,-0.8474,2.6701
2359,7,84.7895,2.9788
2360,8,107.4217,3.5319
2361,9,114.0879,3.3082
2362,10,128.0387,2.394
2363,11,232.7958,3.5648
2364,12,360.4895,3.8862
2365,13,806.9155,3.6407
2366,14,776.0087,2.877
2367,15,455.2573,3.4487
2368,16,521.0452,3.7585
2369,17,281.8184,3.8054
2370,18,73.3694,2.9353
2371,19,-4.4205,2.4257
2372,20,-5.1697,3.8774
2373,21,-3.3753,4.291
2374,22,-4.6237,3.359
2375,23,-3.0854,3.7559
2376,0,-3.5672,3.3176
2377,1,-2.6397,3.0906
2378,2,-2.0704,2.9162
2379,3,-2.2624,3.8055
2380,4,-1.8597,4.104
2381,5,-3.8438,2.9202
2382,6,9.9174,1.9369
2383,7,82.8189,2.8548
2384,8,145.177,2.0978
2385,9,338.728,2.5433
2386,10,663.8117,2.0339
2387,11,688.6493,2.1374
2388,12,831.221,3.3748
2389,13,520.2517,3.5793
2390,14,387.9895,2.9128
2391,15,236.6133,2.4358
2392,16,137.5826,4.2211
2393,17,137.6534,2.2148
2394,18,142.2458,3.6385
2395,19,-7.2555,4.0942
2396,20,-7.701,5.5239
2397,21,-4.4009,2.2949
2398,22,-3.189,2.4171
2399,23,-2.1712,2.5007
2400,0,-2.2016,1.7425
2401,1,-1.6656,2.0351
2402,2,-1.1939,2.1729
2403,3,-2.8144,2.3407
2404,4,-2.5852,1.2857
2405,5,-2.1673,2.1405
2406,6,13.9915,2.6963
2407,7,72.8801,0.8704
2408,8,159.3017,0.6338
2409,9,324.8538,1.7817
2410,10,421.123,3.1828
2411,11,713.7595,3.2729
2412,12,757.5587,2.4785
2413,13,878.2683,4.0597
2414,14,703.9063,4.3924
2415,15,528.1718,2.8903
2416,16,170.987,3.5754
2417,17,172.8396,5.2658
2418,18,66.999,3.4391
2419,19,-2.9478,3.3136
2420,20,-7.0469,4.6104
2421,21,-3.9025,6.1994
2422,22,-3.0493,5.5858
2423,23,-5.0872,3.7735
2424,0,-3.5488,5.0524
2425,1,-3.1543,4.8616
2426,2,-3.0653,4.5615
2427,3,-2.666,5.3271
2428,4,-3.3345,3.7773
2429,5,-2.4352,3.902
2430,6,12.6786,3.0485
2431,7,79.1476,2.6925
2432,8,136.5143,8.2844
2433,9,331.3602,10.4581
2434,10,733.587,9.0534
2435,11,595.0255,10.4879
2436,12,799.5962,10.8405
2437,13,970.1775,9.0719
2438,14,926.587,9.2812
2439,15,817.1913,8.4687
2440,16,624.6162,8.0903
2441,17,385.1212,9.4942
2442,18,136.2089,6.0564
2443,19,-5.1643,5.2064
2444,20,-9.1022,3.9408
2445,21,-7.5355,2.5128
2446,22,-7.2718,3.3463
2447,23,-5.3038,1.638
2448,0,-3.3321,2.3171
2449,1,-2.0808,2.4118
2450,2,-2.6448,2.391
2451,3,-2.0862,2.8455
2452,4,-2.2571,1.5754
2453,5,-2.7253,1.9493
2454,6,14.8964,2.7996
2455,7,76.1124,1.6619
2456,8,121.887,1.2833
2457,9,311.4282,2.6215
2458,10,730.1958,2.9624
2459,11,734.1552,2.773
2460,12,871.8608,3.1577
2461,13,959.6075,3.4097
2462,14,895.0712,2.9644
2463,15,786.7502,2.9414
2464,16,588.6322,2.2374
2465,17,354.6783,2.1755
2466,18,117.5454,1.65
2467,19,-13.2433,2.3219
2468,20,-10.0282,5.3577
2469,21,-7.1894,2.2222
2470,22,-4.383,3.5744
2471,23,-2.6335,1.8498
2472,0,-0.6241,1.6947
2473,1,-0.7306,2.9681
2474,2,-2.5565,2.0486
2475,3,-1.5176,2.9393
2476,4,-5.3532,2.3763
2477,5,-2.5009,2.2875
2478,6,13.4678,2.7748
2479,7,77.3242,1.1988
2480,8,121.9758,1.3034
2481,9,304.17,1.87
2482,10,731.1857,2.1114
2483,11,737.7465,3.5576
2484,12,887.2573,5.2688
2485,13,1010.098,4.6711
2486,14,768.342,5.1802
2487,15,458.1645,6.3821
2488,16,317.7525,6.9153
2489,17,229.2737,8.2039
2490,18,101.2129,5.604
2491,19,-1.2512,6.5508
2492,20,-5.0228,9.1781
2493,21,-5.1757,10.487
2494,22,-6.2533,8.8244
2495,23,-7.0176,6.5264
2496,0,-2.8485,6.1226
2497,1,-2.0252,7.0512
2498,2,-2.8567,7.4289
2499,3,0.2229,9.8126
2500,4,-0.5062,12.923
2501,5,-9.7925,5.0945
2502,6,-1.5452,5.0606
2503,7,90.8188,4.7091
2504,8,146.9643,4.0492
2505,9,306.288,5.0941
2506,10,266.694,5.2685
2507,11,442.7838,6.7271
2508,12,524.5007,5.0234
2509,13,388.9493,5.1147
2510,14,425.3648,6.5532
2511,15,259.8955,8.3701
2512,16,235.2278,9.8935
2513,17,152.213,8.2012
2514,18,51.8442,6.5021
2515,19,-0.203,2.359
2516,20,-4.9515,3.5996
2517,21,-4.9739,4.9526
2518,22,-2.206,6.0734
2519,23,-1.5717,5.3445
2520,0,-1.2477,4.1736
2521,1,-1.2278,4.2355
2522,2,-1.8307,2.4152
2523,3,0.1874,2.6927
2524,4,-0.0348,3.8475
2525,5,-0.6879,2.1048
2526,6,-0.2547,2.6001
2527,7,15.7571,1.4982
2528,8,21.3952,3.2771
2529,9,92.7678,4.029
2530,10,228.0352,3.7274
2531,11,312.5727,2.0455
2532,12,283.921,2.8124
2533,13,363.1157,3.3473
2534,14,314.1875,4.2797
2535,15,364.4728,4.3449
2536,16,218.5787,4.9891
2537,17,121.2759,5.4257
2538,18,23.1572,5.3196
2539,19,1.3952,4.4348
2540,20,-0.4093,3.6329
2541,21,-0.1957,3.8084
2542,22,-0.1051,4.4785
2543,23,-0.0499,4.7979
2544,0,-0.2447,3.8693
2545,1,-0.2353,3.6708
2546,2,-0.326,4.4639
2547,3,-0.3909,4.5744
2548,4,-0.4875,5.0302
2549,5,-0.5968,5.6475
2550,6,3.3586,6.1901
2551,7,22.6167,7.2137
2552,8,50.5247,8.8209
2553,9,95.0166,7.9849
2554,10,130.002,7.3197
2555,11,229.0513,6.6142
2556,12,282.3145,5.6326
2557,13,315.0575,4.852
2558,14,715.0745,3.7148
2559,15,824.8637,3.6053
2560,16,522.0425,5.244
2561,17,145.0174,4.6467
2562,18,69.0143,4.4674
2563,19,2.8948,4.0794
2564,20,-2.1171,2.8138
2565,21,-1.0879,5.1076
2566,22,-1.1067,3.5515
2567,23,-1.4014,3.9606
2568,0,-1.1107,5.0211
2569,1,-0.2756,3.2143
2570,2,-0.8558,3.3619
2571,3,-1.2759,2.1892
2572,4,-0.4336,1.8655
2573,5,0.0524,1.1044
2574,6,6.7131,1.0195
2575,7,94.4646,0.6729
2576,8,213.3305,1.07
2577,9,210.9693,2.8961
2578,10,153.5242,1.0226
2579,11,588.0597,0.9426
2580,12,923.5822,1.8085
2581,13,1004.211,2.075
2582,14,923.626,2.1666
2583,15,593.804,5.3868
2584,16,110.0586,5.4974
2585,17,84.8245,3.6023
2586,18,2.02,6.6094
2587,19,9.9896,5.6727
2588,20,-1.3212,4.4136
2589,21,-2.2707,3.0969
2590,22,-0.8151,3.3129
2591,23,-0.4771,4.4255
2592,0,1.0671,3.7163
2593,1,-1.1911,3.8751
2594,2,-0.9994,5.1148
2595,3,-0.2496,6.726
2596,4,-1.0834,4.2561
2597,5,-0.6065,4.1548
2598,6,4.6294,5.7328
2599,7,39.6366,2.2086
2600,8,199.1174,1.6019
2601,9,321.0278,4.6943
2602,10,581.1152,5.0428
2603,11,846.0903,4.9506
2604,12,802.8957,4.0465
2605,13,401.9747,2.9046
2606,14,679.3507,2.6418
2607,15,880.1235,3.5968
2608,16,360.4422,3.4063
2609,17,217.6819,4.199
2610,18,40.3093,4.1652
2611,19,-0.2063,2.9748
2612,20,-3.6832,3.4756
2613,21,-2.3439,4.5742
2614,22,-4.1444,5.0821
2615,23,-5.3298,3.3623
2616,0,-2.0456,2.2341
2617,1,1.6066,1.2986
2618,2,-0.1717,2.8522
2619,3,-0.8309,3.9595
2620,4,-2.3585,2.6801
2621,5,-2.5063,0.9601
2622,6,11.3827,2.3987
2623,7,95.9317,1.6759
2624,8,288.5128,3.7614
2625,9,369.1672,3.5153
2626,10,765.1822,2.5347
2627,11,856.9665,2.9598
2628,12,983.239,3.2976
2629,13,894.8653,3.2202
2630,14,705.0615,3.4168
2631,15,536.7023,3.2057
2632,16,336.9373,3.0878
2633,17,92.8241,2.6432
2634,18,20.9412,2.0577
2635,19,13.1399,2.0597
2636,20,-3.5508,2.7955
2637,21,-2.4495,1.9673
2638,22,-0.5022,2.7986
2639,23,-1.2599,3.7521
2640,0,-2.315,3.6802
2641,1,-1.1054,2.6907
2642,2,-0.9,2.4932
2643,3,0.5005,2.3256
2644,4,-2.0668,3.6558
2645,5,-1.7825,3.8167
2646,6,24.8202,2.7475
2647,7,137.271,3.6516
2648,8,282.013,2.3861
2649,9,382.067,2.4198
2650,10,642.7217,2.2795
2651,11,637.0508,2.8784
2652,12,1051.673,3.2584
2653,13,1087.8565,4.9883
2654,14,640.7587,6.1366
2655,15,234.4288,4.882
2656,16,363.1115,3.0143
2657,17,304.6658,4.5322
2658,18,61.9576,5.1705
2659,19,13.6053,2.2722
2660,20,-5.2192,3.7162
2661,21,-4.9149,3.6459
2662,22,-2.9843,3.8294
2663,23,-0.4215,2.5712
2664,0,-3.35,2.5556
2665,1,-4.5416,1.7782
2666,2,-3.0058,2.1015
2667,3,-4.1796,4.7232
2668,4,-3.8436,3.7268
2669,5,-2.6176,3.4421
2670,6,34.4474,2.26
2671,7,116.9416,1.6163
2672,8,226.3733,2.0526
2673,9,391.1192,1.8177
2674,10,742.5938,1.9522
2675,11,836.8577,2.4816
2676,12,976.9457,3.7082
2677,13,500.9105,3.8739
2678,14,611.959,3.0658
2679,15,75.1062,4.5499
2680,16,503.6313,4.1382
2681,17,309.9472,3.0056
2682,18,154.5413,6.2728
2683,19,10.8082,10.3207
2684,20,-2.4068,11.2018
2685,21,-0.3563,11.0931
2686,22,-1.0044,8.6039
2687,23,-3.422,4.7645
2688,0,-1.711,5.1251
2689,1,-0.2692,2.5364
2690,2,-1.2686,5.4224
2691,3,-3.2227,5.7671
2692,4,-4.8069,4.6379
2693,5,-4.2474,3.9229
2694,6,43.7725,3.2594
2695,7,218.9677,1.646
2696,8,344.0378,1.36
2697,9,427.9593,1.866
2698,10,743.2363,3.479
2699,11,405.7142,4.2197
2700,12,168.4144,5.4005
2701,13,387.5178,3.65
2702,14,289.0422,4.3016
2703,15,707.5102,3.3181
2704,16,554.9008,2.0988
2705,17,140.8195,5.8515
2706,18,4.4667,10.7206
2707,19,1.416,6.8574
2708,20,-2.1572,6.6454
2709,21,-1.341,7.7437
2710,22,-1.8499,12.0409
2711,23,-1.8906,11.1402
2712,0,-3.6231,3.4079
2713,1,-2.5843,8.4884
2714,2,-5.6584,4.0975
2715,3,-4.9171,3.0223
2716,4,-1.6133,4.6502
2717,5,-2.9916,5.4687
2718,6,30.2897,1.6708
2719,7,148.1134,2.0444
2720,8,269.389,1.8606
2721,9,407.4435,2.1442
2722,10,729.7332,3.4663
2723,11,871.6178,2.9577
2724,12,444.9675,3.6663
2725,13,470.9153,3.6274
2726,14,137.8206,8.3106
2727,15,24.8058,6.5029
2728,16,205.428,7.3799
2729,17,199.1588,7.7335
2730,18,98.7011,10.5243
2731,19,14.7738,7.3903
2732,20,-4.653,3.4017
2733,21,-0.8994,5.8318
2734,22,-1.461,8.3731
2735,23,-2.2328,11.0583
2736,0,-4.3918,5.8766
2737,1,-1.5798,8.687
2738,2,-2.3433,9.726
2739,3,-3.1208,8.7945
2740,4,-2.5075,9.4038
2741,5,-5.7741,4.6292
2742,6,34.5517,3.9784
2743,7,168.2381,4.5012
2744,8,310.2567,3.5753
2745,9,423.005,4.5174
2746,10,664.973,4.6783
2747,11,877.8265,4.2164
2748,12,226.211,2.2317
2749,13,468.9218,3.179
2750,14,375.4233,6.3557
2751,15,153.4657,4.7889
2752,16,206.4065,3.3352
2753,17,198.0342,4.1433
2754,18,43.8825,2.8217
2755,19,1.696,2.883
2756,20,-4.5866,3.3654
2757,21,-5.519,4.9565
2758,22,-0.0004,5.872
2759,23,-3.886,5.6767
2760,0,0.076,3.1085
2761,1,-1.4885,3.9203
2762,2,-0.9113,4.2948
2763,3,-0.87,3.579
2764,4,-0.5264,2.9405
2765,5,-1.0726,3.1999
2766,6,0.2956,5.1398
2767,7,8.2285,3.3402
2768,8,37.378,2.4367
2769,9,62.3418,2.311
2770,10,108.0745,2.988
2771,11,128.6794,1.754
2772,12,114.144,4.337
2773,13,177.4125,3.8686
2774,14,101.9834,2.3563
2775,15,229.0122,3.6887
2776,16,206.2852,4.378
2777,17,109.6416,5.1196
2778,18,24.094,3.7584
2779,19,9.0842,2.8993
2780,20,-1.0468,2.6838
2781,21,-0.272,2.9888
2782,22,-0.1309,2.2042
2783,23,-0.1241,3.856
2784,0,-1.0942,2.8674
2785,1,-0.2306,2.6385
2786,2,-0.3767,2.902
2787,3,-0.2536,3.0305
2788,4,-0.1346,3.0476
2789,5,-0.1226,2.7692
2790,6,7.8801,3.5983
2791,7,31.9715,3.6939
2792,8,51.936,3.1701
2793,9,144.7644,2.9267
2794,10,301.3247,2.9325
2795,11,307.0275,3.2927
2796,12,303.6827,3.4826
2797,13,247.255,3.1153
2798,14,321.4938,2.5868
2799,15,215.2545,2.3415
2800,16,157.3903,3.3008
2801,17,33.7751,3.2484
2802,18,13.7677,1.9327
2803,19,-0.1172,2.308
2804,20,-1.5344,3.5371
2805,21,-0.759,1.9628
2806,22,-0.79,1.7616
2807,23,-1.5899,3.1194
2808,0,-1.035,2.2897
2809,1,-0.2261,1.9247
2810,2,-0.0152,2.4874
2811,3,-0.4396,2.3396
2812,4,-0.4535,2.5558
2813,5,-1.3239,1.368
2814,6,46.5077,0.9041
2815,7,194.0677,1.1397
2816,8,226.6594,1.2341
2817,9,269.0145,2.1491
2818,10,323.5817,2.6073
2819,11,599.5575,3.3257
2820,12,876.0097,2.7327
2821,13,991.416,2.9765
2822,14,901.23,2.3906
2823,15,685.4625,3.1763
2824,16,520.7665,2.7184
2825,17,368.106,2.2451
2826,18,161.6654,1.498
2827,19,1.4795,1.0426
2828,20,-11.5953,0.331
2829,21,-5.2745,1.4167
2830,22,-3.5949,2.0861
2831,23,-2.6553,2.7256
2832,0,-2.7616,2.6507
2833,1,-2.7445,1.0323
2834,2,-2.0217,1.4918
2835,3,-1.3655,0.9916
2836,4,-1.5673,1.4609
2837,5,-1.5432,2.5416
2838,6,48.7852,1.8272
2839,7,206.2483,0.3682
2840,8,373.1988,1.4404
2841,9,477.0605,1.4905
2842,10,787.5322,2.2861
2843,11,909.9337,2.7615
2844,12,1004.37,2.7677
2845,13,1002.056,3.1513
2846,14,926.4185,4.0267
2847,15,795.7993,3.2899
2848,16,598.6583,3.0361
2849,17,377.0584,3.1396
2850,18,148.7759,3.4407
2851,19,-3.5233,1.0399
2852,20,-11.1887,0.5637
2853,21,-4.8692,3.857
2854,22,-3.801,3.0554
2855,23,-0.0567,5.4297
2856,0,-0.5802,7.7204
2857,1,-4.1438,6.2102
2858,2,-1.4907,8.3
2859,3,-3.5073,6.5999
2860,4,-4.0723,5.2287
2861,5,-4.8593,2.0013
2862,6,54.1229,7.1844
2863,7,207.5368,4.4525
2864,8,372.8,2.3811
2865,9,465.6458,1.8178
2866,10,550.6168,4.3034
2867,11,840.717,4.0372
2868,12,985.4637,3.7912
2869,13,377.5908,3.4891
2870,14,661.199,2.6191
2871,15,542.8057,3.4278
2872,16,392.1635,3.6582
2873,17,129.3448,5.2606
2874,18,14.4546,8.8007
2875,19,0.1775,8.6026
2876,20,-2.5698,4.8128
2877,21,-1.3145,1.9224
2878,22,-1.1114,0.9066
2879,23,-0.8042,4.3838
2880,0,-2.3151,4.7248
2881,1,-2.6341,3.944
2882,2,-4.2022,2.6874
2883,3,-1.1785,1.2855
2884,4,-1.8523,1.3214
2885,5,0.2973,2.0083
2886,6,30.378,2.5744
2887,7,95.2791,1.2344
2888,8,141.0393,1.7897
2889,9,262.3615,1.9048
2890,10,352.2578,2.7152
2891,11,355.1132,2.9818
2892,12,613.7248,2.4689
2893,13,160.1099,2.7916
2894,14,163.0846,4.1815
2895,15,283.7023,3.93
2896,16,285.509,8.3633
2897,17,270.488,4.5294
2898,18,124.8371,1.6702
2899,19,11.9203,3.0233
2900,20,-5.5318,2.3876
2901,21,-3.0558,3.1332
2902,22,-0.3135,6.7998
2903,23,-1.5675,4.5482
2904,0,-4.0721,1.2184
2905,1,0.6092,2.2047
2906,2,-0.1382,3.8463
2907,3,-0.8421,3.6963
2908,4,-0.0315,4.8582
2909,5,1.2256,7.3307
2910,6,59.9069,6.2999
2911,7,171.2434,5.8098
2912,8,275.8345,3.891
2913,9,359.7167,2.2615
2914,10,438.3665,2.9673
2915,11,691.8048,4.3892
2916,12,606.85,4.6388
2917,13,576.9704,5.1648
2918,14,62.6478,4.2318
2919,15,132.1225,11.5729
2920,16,227.9292,9.573
2921,17,124.6473,5.193
2922,18,36.2681,4.0101
2923,19,6.5044,3.2608
2924,20,-5.6079,4.9882
2925,21,1.1811,5.7932
2926,22,-1.9497,4.7371
2927,23,-1.9973,6.8551
2928,0,-4.6795,5.2235
2929,1,-3.744,3.8289
2930,2,-0.9827,6.2404
2931,3,2.2392,9.4845
2932,4,-0.524,10.0567
2933,5,-2.5655,5.7756
2934,6,74.168,4.8333
2935,7,188.6522,1.0441
2936,8,315.409,5.9947
2937,9,572.0762,6.2509
2938,10,688.367,3.92
2939,11,581.208,3.2331
2940,12,229.9572,4.9624
2941,13,259.5115,6.1693
2942,14,339.9205,7.6249
2943,15,262.9254,5.8522
2944,16,87.3661,10.6586
2945,17,266.8613,5.2657
2946,18,96.5064,2.3762
2947,19,12.5392,3.0832
2948,20,-5.6694,4.7092
2949,21,-2.8905,2.3718
2950,22,-5.4911,1.4967
2951,23,-2.9774,2.1623
2952,0,-0.0127,5.1053
2953,1,1.6209,6.7947
2954,2,-3.8342,3.5349
2955,3,-1.5607,4.094
2956,4,-0.6105,2.703
2957,5,-0.9207,2.4697
2958,6,7.2575,1.0403
2959,7,23.3125,0.7282
2960,8,53.1546,1.6768
2961,9,79.6259,1.3338
2962,10,201.7292,1.6353
2963,11,194.1302,2.685
2964,12,164.3778,2.4365
2965,13,105.4893,1.9847
2966,14,175.954,1.7566
2967,15,127.7872,2.844
2968,16,127.6587,3.6554
2969,17,31.9601,4.7108
2970,18,19.8128,4.7759
2971,19,5.4878,4.0329
2972,20,-0.2767,3.8145
2973,21,-0.1977,3.28
2974,22,-0.4415,4.9722
2975,23,-0.7969,7.5815
2976,0,-0.9183,4.6208
2977,1,0.069,1.8
2978,2,-0.8351,2.3517
2979,3,-0.186,2.514
2980,4,-0.035,1.3778
2981,5,-0.2838,0.735
2982,6,5.8401,1.2087
2983,7,19.156,1.7756
2984,8,68.0409,1.6356
2985,9,66.3398,1.476
2986,10,150.5657,2.2623
2987,11,246.0997,2.7891
2988,12,194.7232,3.6615
2989,13,218.33,3.6768
2990,14,134.3262,4.5486
2991,15,164.1812,4.4465
2992,16,105.625,4.3975
2993,17,109.6722,3.3089
2994,18,44.8304,2.575
2995,19,10.1655,3.2922
2996,20,-0.4047,3.2
2997,21,-0.499,3.2512
2998,22,-0.3901,3.1356
2999,23,-0.3107,2.253
3000,0,-0.5508,1.6698
3001,1,-0.431,1.4903
3002,2,-0.6346,1.1172
3003,3,-0.643,2.1948
3004,4,-0.6524,2.9035
3005,5,-0.6323,1.9615
3006,6,12.4946,2.6519
3007,7,60.0607,1.7375
3008,8,157.7615,0.4236
3009,9,273.074,1.1589
3010,10,463.2035,2.1554
3011,11,572.1742,2.4041
3012,12,492.0132,2.5113
3013,13,709.7703,2.9235
3014,14,245.3075,2.8427
3015,15,311.4482,4.0546
3016,16,188.0453,3.375
3017,17,122.579,3.1061
3018,18,44.3337,2.2379
3019,19,13.8876,2.2442
3020,20,-1.3345,5.0361
3021,21,-0.6095,5.2307
3022,22,-0.2701,2.2359
3023,23,-0.0674,1.2447
3024,0,-0.0506,0.9068
3025,1,-0.0944,1.9519
3026,2,-1.1205,3.9581
3027,3,-1.5064,3.0256
3028,4,-0.964,2.0223
3029,5,-0.5841,2.4507
3030,6,9.3662,2.3142
3031,7,54.7828,2.1266
3032,8,73.4561,1.809
3033,9,105.5588,1.7648
3034,10,149.2357,2.0069
3035,11,263.8097,1.348
3036,12,190.57,2.9505
3037,13,262.3365,3.545
3038,14,347.2239,3.0171
3039,15,269.5831,3.3459
3040,16,242.9198,1.372
3041,17,190.96,2.6621
